pop,ind,lat,long,MO1,MO6,MO10,MO55,MO61,MO41,MO45,MO46,MO56,MO8,MO12,MO13,MO68
WM,S1T1,572183,3148446,136/136,508/510,270/270,110/122,302/302,143/143,208/212,418/426,335/335,165/165,266/266,328/336,235/245
WM,S1T3,572147,3148491,136/136,506/506,270/270,110/110,298/302,143/143,210/212,422/426,333/335,165/165,266/266,328/336,255/267
WM,S1T4,572170,3148601,136/136,506/508,270/270,110/110,302/302,143/143,210/210,418/426,335/335,165/165,256/266,328/328,249/267
WM,S1T5,572171,3148604,136/136,506/506,270/270,110/118,302/302,143/143,210/210,418/426,335/345,161/165,268/268,328/328,249/267
WM,S1T6,572180,3148621,136/136,510/510,270/270,110/110,298/302,143/143,208/210,418/422,333/335,165/165,268/268,328/336,267/267
WM,S1T7,572180,3148621,136/136,506/506,270/270,110/110,302/302,143/143,208/210,418/422,333/335,165/165,268/268,328/336,267/267
WM,S1T8,572222,3148686,136/136,510/510,270/270,110/110,298/302,143/143,210/210,418/422,333/335,165/165,258/266,328/336,267/267
WM,S1T9,572224,3148667,136/136,506/510,270/270,110/110,298/302,143/143,210/210,422/426,335/341,165/165,268/268,328/336,245/267
WM,S1T10,572219,3148668,136/136,506/510,266/266,118/122,298/302,143/143,210/210,422/426,335/335,165/165,268/268,328/328,245/267
WM,S1T11,572146,3148703,136/136,506/506,270/270,118/122,298/302,143/143,210/212,422/426,335/337,165/165,266/266,328/346,255/271
WM,S2T2,572590,3148475,136/136,506/508,270/270,104/110,298/302,143/143,210/212,418/428,333/333,165/165,256/256,328/328,245/255
WM,S2T4,572772,3148500,136/136,506/506,270/270,110/122,298/302,143/143,208/210,418/428,335/345,165/165,256/256,334/346,251/267
WM,S2T5,572772,3148605,136/136,506/508,270/270,110/122,298/302,143/143,208/208,414/418,335/335,161/165,268/268,328/336,267/267
WM,S2T6,572777,3148603,136/136,508/510,270/270,110/110,298/302,143/143,208/212,418/428,335/335,163/165,268/268,328/334,251/267
WM,S2T7,572785,3148602,136/136,506/506,270/270,98/122,302/302,143/143,208/208,418/418,335/335,165/165,264/264,334/346,249/267
WM,S2T8,572857,3148582,136/136,506/508,270/270,110/112,298/298,143/143,208/208,428/428,335/335,149/165,256/256,328/334,245/255
WM,S3T1,573430,3148543,136/136,506/508,270/270,110/110,298/302,143/143,210/212,418/428,333/333,165/165,256/256,328/328,245/255
WM,S3T2,573443,3148508,136/136,508/508,270/270,112/112,302/302,143/143,196/208,422/428,333/345,165/165,250/256,336/346,251/261
WM,S3T3 ,573441,3148507,136/136,506/510,270/270,110/120,298/302,143/143,198/208,428/428,335/335,149/165,256/264,328/328,245/249
WM,S3T8,573471,3148623,136/136,506/506,270/270,110/122,298/298,143/143,208/212,426/428,335/345,149/165,268/268,334/334,245/255
WM,S4T1,573998,3148967,136/136,506/508,270/270,110/122,298/302,143/143,208/208,418/428,335/335,165/165,268/268,328/328,249/267
WM,S4T2,573975,3148895,136/136,506/508,270/270,110/122,298/302,143/143,208/208,418/428,335/357,149/165,268/268,328/336,251/267
WM,S4T3,573958,3148878,136/136,506/506,270/270,110/110,298/302,143/143,208/208,418/428,335/353,149/165,250/268,328/336,251/267
WM,S4T4,573925,3148857,136/136,508/508,270/270,110/122,298/302,143/143,196/208,428/428,335/345,149/165,268/268,334/344,245/255
WM,S4T7,573803,3148800,136/136,506/506,270/286,110/110,298/302,143/143,196/210,426/428,333/345,165/165,256/268,334/336,245/267
WM,S4T8,573690,3148769,136/136,506/506,270/286,110/118,298/302,143/143,208/208,418/428,335/345,163/165,268/268,334/336,251/267
WM,S5T3,574186,3149102,136/136,506/506,270/270,110/118,298/298,143/143,198/208,426/428,335/335,165/165,264/264,328/334,245/267
WM,S5T4,574164,3149087,136/136,506/510,270/270,110/122,302/302,143/143,208/212,418/426,335/345,165/165,256/266,328/336,251/267
WM,S5T6,574123,3149044,136/136,506/508,270/270,110/110,298/302,143/143,208/208,428/428,335/335,149/149,268/268,328/334,245/267
WM,S5T7,574123,3149006,136/136,506/508,270/270,110/122,298/302,143/143,208/212,418/428,333/335,163/165,268/268,328/334,245/249
WM,S6T1,574277,3149178,136/136,506/508,270/270,110/132,302/302,143/143,208/212,422/426,333/345,165/165,268/268,328/334,251/267
WM,S6T2,574273,3149182,136/136,506/506,270/270,110/110,298/298,143/143,208/212,420/428,333/333,165/165,268/268,334/334,249/251
WM,S6T4,574283,3149180,136/136,506/506,270/270,110/110,298/298,143/143,210/212,422/428,333/333,163/165,256/266,328/334,251/267
WM,S6T5,574305,3149180,136/136,506/506,270/270,110/110,298/302,143/143,208/212,422/428,333/335,165/165,256/262,334/336,245/251
WM,S7T1,574651,3149518,136/136,506/510,270/270,110/110,298/302,143/143,208/208,428/428,335/335,165/165,268/268,336/346,267/267
WM,S7T2,574664,3149521,136/136,506/506,270/270,110/122,302/302,143/143,212/212,414/420,335/335,165/165,256/256,328/334,245/267
WM,S7T3,574527,3149423,136/136,506/506,270/270,112/122,302/302,143/143,210/212,422/426,335/335,149/165,256/266,328/328,249/251
WM,S8T2,573506,3148892,136/136,506/508,270/270,110/122,302/302,143/143,208/210,428/428,333/335,165/165,264/264,328/328,245/251
WM,S8T3,573727,3148987,136/136,506/508,270/270,110/110,298/298,143/143,210/212,428/428,335/345,149/165,268/268,328/334,251/267
WM,S8T4,573731,3148985,136/136,506/508,270/270,110/110,298/298,143/143,210/212,428/428,333/345,149/165,268/268,328/334,251/267
WM,S8T5_N,573719,3148985,136/136,506/508,270/270,110/110,298/298,143/143,210/212,428/428,335/345,149/165,268/268,328/334,251/267
WM,S8T6,573741,3149029,136/136,508/510,270/270,110/110,298/298,143/143,208/210,414/428,335/335,149/149,256/266,328/336,251/267
WM,S8T7,573745,3149025,136/136,506/506,270/270,110/110,298/302,143/143,208/212,426/428,335/335,165/165,258/258,336/346,245/267
WM,S8T8,573754,3149035,136/136,506/508,270/270,110/120,302/302,143/143,210/212,426/428,335/345,165/165,268/268,336/346,245/267
WM,S8T9,573764,3149036,136/136,506/506,270/270,110/120,298/302,143/143,210/212,426/428,333/335,165/165,268/268,336/346,245/269
WM,S9T1,573820,3149065,136/136,506/508,270/270,110/110,298/298,143/143,208/212,428/428,335/335,149/165,268/268,328/346,245/251
WM,S9T2,573824,3149065,136/136,506/506,270/270,110/122,302/302,143/143,196/208,418/418,333/335,149/165,266/266,328/334,245/249
WM,S10T2,573909,3149174,136/136,508/510,270/270,110/110,298/302,143/143,208/210,418/428,335/335,165/165,268/268,328/328,251/267
WM,S10T3,573907,3149180,136/136,490/508,270/286,110/124,298/302,143/143,208/212,418/428,335/357,149/159,256/268,328/328,267/267
WM,S10T4,573986,3149253,136/136,506/508,270/270,122/122,280/298,143/143,208/210,418/418,335/335,165/165,266/266,328/336,251/255
WM,S10T5,573997,3149256,136/136,506/506,270/286,110/122,298/302,143/143,208/212,426/428,333/335,165/165,268/268,336/346,245/267
WM,S11T1,574062,3149292,136/136,506/506,270/270,110/110,298/298,143/143,208/208,428/428,335/335,163/165,268/268,334/336,267/267
WM,S11T5,574153,3149309,136/136,506/508,270/270,102/110,298/302,143/143,212/212,418/426,333/335,165/165,256/256,328/334,245/245
WM,S12T2,574185,3149384,136/136,488/506,270/270,110/110,298/302,143/143,208/212,426/428,333/335,165/165,264/264,328/334,245/267
WM,S12T3,574187,3149397,136/136,506/508,230/230,110/118,302/302,143/143,208/208,422/426,335/335,165/165,258/266,328/328,267/267
WM,S12T4,574187,3149403,136/136,506/506,270/270,110/110,298/302,143/143,208/208,426/428,333/333,165/165,268/268,328/328,251/267
WM,S12T5,574196,3149411,136/136,506/510,270/270,110/110,298/302,143/143,208/208,426/428,335/335,165/165,268/268,328/334,245/267
WM,S12T9,574226,3149401,136/136,506/506,270/284,98/122,298/302,143/143,208/208,426/428,333/345,165/165,258/266,328/334,251/267
WM,S13T7,574359,3149585,138/138,508/508,270/270,102/110,298/302,143/143,208/210,418/428,335/335,149/165,268/268,334/346,249/267
WM,S14T1,574442,3149625,136/136,506/510,270/270,110/122,298/302,143/143,208/212,426/428,333/335,165/165,266/266,336/336,245/267
WM,S14T2,574449,3149625,136/136,506/506,270/270,110/110,298/302,143/143,208/212,426/428,333/335,165/165,268/268,336/336,245/267
WM,S14T3,574451,3149626,136/136,506/506,270/270,110/110,298/302,143/143,208/212,426/428,333/335,165/165,268/268,336/336,245/267
WM,S14T6,574520,3149669,136/136,506/510,270/270,110/110,302/302,143/143,196/208,414/426,335/351,165/165,268/268,336/336,267/267
WM,S14T9,574545,3149650,136/136,506/506,270/270,110/122,298/298,143/143,196/208,414/428,333/335,165/165,248/256,328/334,245/249
WM,S14T10,574548,3149655,136/136,506/506,270/284,110/110,298/302,143/143,196/212,414/426,333/335,165/165,258/258,328/328,249/267
WM,S14T11,574559,3149653,136/136,508/510,270/270,110/110,298/302,143/143,210/210,418/426,335/345,165/165,256/256,336/336,245/251
WM,S15T1,574592,3149742,136/136,506/510,230/230,110/110,298/302,143/143,198/210,428/428,333/333,165/165,252/266,328/336,245/251
WM,S15T2,574595,3149739,136/136,506/510,270/270,110/110,298/302,143/143,198/212,414/428,333/333,165/165,254/264,334/336,251/267
WM,S15T4,574589,3149728,136/136,506/508,270/270,110/110,302/302,143/143,196/210,418/428,335/343,165/165,250/256,334/336,245/251
WM,S15T5,574594,3149723,136/136,506/506,270/270,98/110,298/302,143/143,208/208,426/428,333/335,165/165,256/256,328/346,245/267
WM,S15T6,574597,3149700,136/136,506/508,270/270,110/110,302/302,143/143,208/210,418/426,333/335,165/165,256/264,336/336,245/267
WM,S15T7,574604,3149694,136/136,506/506,270/270,98/110,302/302,143/143,208/208,418/426,333/335,165/165,256/256,328/328,245/267
WM,S15T9,574582,3149692,136/136,506/506,270/270,98/110,298/302,143/143,208/208,426/428,333/335,165/165,256/266,328/334,251/267
WM,S15T10,574582,3149701,136/136,508/508,270/270,110/110,302/302,143/143,196/210,418/426,335/345,165/165,244/256,328/336,245/267
WM,S15T11,574579,3149704,136/136,506/510,270/270,110/122,302/302,143/143,208/210,418/428,335/335,165/165,268/268,328/336,245/275
WM,S15T12,574585,3149692,136/136,506/510,270/270,110/122,298/302,143/143,210/214,414/428,333/333,165/165,256/266,328/336,245/267
WM,S15T13,574592,3149671,136/136,506/510,270/270,98/110,298/298,143/143,196/196,414/428,333/335,165/165,248/256,328/336,245/249
WM,S16T1,574665,3149682,136/136,508/510,270/270,110/110,298/298,143/143,198/208,428/428,335/335,165/165,268/268,334/336,245/255
WM,S16T2,574665,3149674,136/136,506/510,270/270,110/122,298/302,143/143,198/198,414/428,335/335,165/165,266/266,334/336,245/251
WM,S16T3,574753,3149664,136/136,506/506,270/270,110/122,302/302,143/143,198/212,418/426,335/345,165/165,266/266,328/336,245/275
WM,S16T5,574771,3149677,136/136,506/510,270/270,110/110,298/302,143/143,198/208,418/428,335/345,165/165,268/268,328/346,267/267
WM,S16T6,574777,3149700,136/136,506/506,270/270,110/110,298/302,143/143,198/210,414/428,335/345,165/165,256/256,336/346,249/267
WM,S16T8,574794,3149658,136/136,506/506,270/270,110/110,298/302,143/143,198/208,418/428,335/335,165/165,268/268,328/346,251/267
WM,S16T9,574783,3149601,136/136,506/510,270/270,110/122,302/302,143/143,208/208,414/418,337/337,165/165,256/264,328/346,255/275
WM,S17T4,574935,3149545,136/136,506/506,270/270,122/122,298/302,143/143,198/208,426/428,335/345,165/165,266/266,336/336,245/267
WM,S17T7,574915,3149644,136/136,506/506,270/272,110/110,298/302,143/143,198/208,418/428,335/335,165/165,256/266,328/346,267/267
WM,S17T11,574976,3149616,136/136,506/506,270/276,122/122,298/298,143/143,198/210,414/428,335/345,165/165,256/256,336/346,245/267
WM,S18T1,575005,3149554,136/136,506/506,270/270,122/122,302/302,143/143,196/208,418/426,335/345,161/165,266/266,334/334,267/267
WM,S18T2,575053,3149560,136/136,506/506,270/270,110/110,302/302,143/143,210/210,426/426,333/335,165/165,256/264,328/346,267/267
WM,S18T3,575058,3149563,136/136,506/506,270/270,110/110,302/302,143/143,210/210,426/426,333/335,165/165,256/264,328/346,267/267
WM,S18T5,575125,3149579,136/136,506/508,270/270,110/110,298/298,143/143,208/212,428/428,333/345,165/165,256/264,328/336,245/245
WM,S18T6,575129,3149531,136/136,506/508,270/270,110/110,298/302,143/143,208/212,426/428,335/345,149/165,266/266,328/334,251/267
WM,S18T7,575141,3149536,136/136,506/510,270/270,110/110,298/302,143/143,196/198,418/426,335/345,165/165,268/268,336/346,245/267
WM,S18T10,575163,3149489,136/136,506/506,270/270,110/112,302/302,143/143,208/210,418/426,333/333,165/165,258/266,328/328,245/267
WM,S19T8,575258,3149459,136/136,506/508,270/286,110/110,298/302,143/143,210/212,418/428,333/335,165/165,256/264,328/346,267/267
WM,S20T1,575301,3149402,136/136,506/510,270/270,110/120,298/298,143/143,208/208,422/428,335/335,149/165,256/262,336/346,245/267
WM,S20T3,575321,3149399,136/136,506/506,270/270,110/112,298/302,143/143,208/208,426/428,333/335,165/165,258/258,328/328,267/267
WM,S20T4,575314,3149378,136/136,506/510,270/286,112/122,298/302,143/143,198/208,426/428,333/335,165/165,268/268,328/336,245/249
WM,S20T5,575329,3149304,136/136,506/508,270/270,110/118,298/302,143/143,210/210,428/428,333/333,165/165,248/266,328/340,245/249
WM,S20T7,575347,3149353,136/136,506/506,270/270,110/110,298/302,143/143,210/210,422/428,333/333,165/165,268/268,334/340,249/251
WM,S20T10,575372,3149372,136/136,506/510,270/270,110/110,298/298,143/143,198/210,428/428,335/335,165/165,268/268,328/336,245/249
WM,S20T12,575450,3149396,136/136,506/510,270/270,110/110,302/302,143/143,210/210,418/422,335/335,165/165,256/256,336/336,267/267
WM,S20T14,575463,3149376,136/136,506/506,270/270,110/122,298/298,143/143,196/212,428/428,333/345,165/165,256/256,328/336,245/245
WM,S20T15,575473,3149363,136/136,506/508,270/270,110/110,302/302,143/143,210/210,422/428,335/335,165/165,268/268,336/336,267/267
WM,S20T17,575454,3149430,136/136,510/510,270/270,110/110,298/298,143/143,196/208,428/428,335/335,165/165,268/268,328/346,245/245
WM,S21T2,575504,3149429,136/136,506/510,270/270,110/122,302/302,143/143,208/212,426/426,335/335,165/165,264/264,336/346,249/267
WM,S21T3,575509,3149419,136/136,506/506,270/270,110/110,298/298,143/143,198/210,428/430,333/335,165/165,268/268,328/328,245/267
WM,S21T5,575540,3149399,136/136,506/506,270/270,110/110,298/302,143/143,208/208,418/426,335/335,165/165,258/258,336/346,245/267
WM,S21T6,575552,3149430,136/136,510/510,270/270,110/122,298/302,143/143,208/212,426/426,345/347,165/165,268/268,328/336,245/249
WM,S21T7,575555,3149413,136/136,506/506,270/270,110/122,302/302,143/143,198/210,426/426,333/335,165/165,256/264,328/328,245/267
WM,S21T9,575567,3149432,136/136,506/506,270/276,110/122,298/302,143/143,210/212,414/428,333/335,165/165,244/266,328/334,245/245
WM,S21T12,575582,3149381,136/136,506/510,270/270,110/122,302/302,143/143,208/212,426/426,335/335,165/165,264/264,336/346,249/267
WM,S22T3,575628,3149299,136/136,506/506,270/270,110/122,298/302,143/143,208/212,426/426,335/335,165/165,266/266,328/346,255/275
WM,S22T4,575675,3149210,136/136,506/508,270/270,110/110,298/302,143/143,208/210,418/426,333/335,165/165,268/268,328/336,245/267
WM,S22T7,575682,3149214,136/136,506/506,270/270,98/110,298/302,143/143,198/212,414/414,335/335,165/165,268/268,336/346,267/267
WM,S23T1,575720,3149234,136/136,506/506,270/270,110/110,298/302,143/143,198/208,428/428,333/335,165/165,256/256,328/336,267/267
WM,S23T2,575723,3149220,136/136,506/506,270/270,110/112,298/298,143/143,198/208,426/428,335/351,149/165,256/256,328/328,267/267
WM,S23T9,575761,3149213,136/136,508/510,270/270,110/110,302/302,143/143,208/210,418/422,335/335,165/165,268/268,328/328,245/251
WM,S23T11,575784,3149216,136/136,506/506,270/270,110/112,298/298,143/143,198/208,414/428,333/335,165/165,256/256,328/328,245/267
WM,S23T12,575787,3149214,136/136,506/506,270/270,110/110,298/298,143/143,208/208,414/428,335/335,165/165,256/256,328/334,245/245
WM,S23T14,575822,3149208,136/136,506/508,270/270,110/110,302/302,143/143,198/208,418/428,333/351,149/165,248/262,328/336,249/267
WM,S23T18,575848,3149211,136/136,506/510,270/270,110/122,298/302,143/143,210/212,426/428,335/351,165/165,268/268,328/346,255/267
WM,S23T20,575870,3149203,136/136,506/510,270/270,110/122,298/298,143/143,208/210,426/428,335/335,165/165,266/266,328/346,267/267
WM,S24T1,575864,3149226,136/136,506/506,270/270,110/110,298/298,143/143,196/208,426/426,335/335,165/165,256/256,336/346,267/267
WM,S24T2,575868,3149226,136/136,506/510,270/270,110/110,298/298,143/143,208/210,418/418,335/335,165/165,268/268,336/336,245/245
WM,S24T4,575888,3149262,136/136,506/506,270/270,110/110,298/302,143/143,208/210,418/418,335/335,165/165,268/268,336/336,245/267
WM,S24T6,575897,3149264,136/136,506/508,270/270,110/110,298/302,143/143,200/208,418/428,335/345,165/165,256/264,328/336,245/267
WM,S24T8,575909,3149270,136/136,506/506,270/270,110/110,302/302,143/143,208/208,426/428,345/345,165/165,268/268,336/346,245/267
WM,S24T9,575908,3149274,136/136,506/506,270/270,110/110,298/298,143/143,208/210,428/428,335/345,163/165,268/268,328/336,245/267
